Loan Default Rate by Credit Score (500â€“900),,,,,,,   ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
credit_score_band,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
500-549,3068,25.26%,,,,,,,,,,,,,,,,,,
550-599,3151,23.58%,,,,,,,,,,,,,,,,,,
600-649,3055,24.55%,,,,,,,,,,,,,,,,,,
650-699,3086,23.46%,,,,,,,,,,,,,,,,,,
700-749,3191,24.19%,,,,,,,,,,,,,,,,,,
750-799,3129,25.44%,,,,,,,,,,,,,,,,,,
800-849,3098,23.82%,,,,,,,,,,,,,,,,,,
850-900,3221,24.93%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Risk Heatmap,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AVERAGE of defaulted,DTI Band,,,,,,,,,,,,,,,,,,,
credit_score_band,< 30,30 - 34,35 - 39,40 - 44,45 - 50,> 50,Grand Total,,,,,,,,,,,,,
500-549,16.80%,13.39%,40.37%,12.54%,19.64%,44.04%,25.26%,,,,,,,,,,,,,
550-599,15.01%,11.38%,38.21%,14.19%,16.22%,42.37%,23.58%,,,,,,,,,,,,,
600-649,18.49%,13.77%,37.23%,14.60%,17.06%,38.38%,24.55%,,,,,,,,,,,,,
650-699,14.08%,12.61%,37.02%,14.07%,17.37%,44.37%,23.46%,,,,,,,,,,,,,
700-749,16.57%,12.43%,38.05%,11.88%,16.12%,47.94%,24.19%,,,,,,,,,,,,,
750-799,17.82%,13.13%,41.06%,13.45%,16.22%,48.26%,25.44%,,,,,,,,,,,,,
800-849,15.53%,12.28%,37.06%,14.56%,18.27%,41.92%,23.82%,,,,,,,,,,,,,
850-900,16.18%,9.07%,39.09%,14.60%,22.86%,39.10%,24.93%,,,,,,,,,,,,,
Grand Total,16.29%,12.25%,38.51%,13.72%,17.95%,43.33%,24.40%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,region,Values,,,,,,,,,,,,,,,,,,
,CENTRAL,,,,NORTH,,,,NORTH-EAST,,,,SOUTH,,,,Grand Total,,,
credit_score_band,COUNT of id,AVERAGE of defaulted,AVERAGE of dtir1,AVERAGE of ltv,COUNT of id,AVERAGE of defaulted,AVERAGE of dtir1,AVERAGE of ltv,COUNT of id,AVERAGE of defaulted,AVERAGE of dtir1,AVERAGE of ltv,COUNT of id,AVERAGE of defaulted,AVERAGE of dtir1,AVERAGE of ltv,COUNT of id,AVERAGE of defaulted,AVERAGE of dtir1,AVERAGE of ltv
500-549,165,30.30%,39.83,77.44,1534,22.03%,37.47,74.00,26,42.31%,37.62,72.10,1343,28.00%,38.47,72.31,3068,25.26%,38.04,73.43
550-599,185,27.57%,38.75,71.92,1587,22.37%,38.02,72.33,30,36.67%,36.33,77.25,1349,24.17%,38.15,71.94,3151,23.58%,38.10,72.18
600-649,176,26.14%,39.59,77.33,1528,22.97%,37.71,73.21,30,30.00%,42.90,74.84,1321,26.04%,38.25,71.61,3055,24.55%,38.10,72.77
650-699,163,22.09%,37.75,73.83,1578,21.74%,37.62,73.40,26,34.62%,39.92,73.76,1319,25.47%,38.15,71.92,3086,23.46%,37.87,72.80
700-749,200,30.00%,39.57,76.77,1592,21.67%,37.40,73.96,26,19.23%,38.69,74.01,1373,26.37%,38.46,71.35,3191,24.19%,38.01,73.01
750-799,187,28.34%,39.85,75.59,1586,23.20%,37.70,73.38,23,34.78%,36.74,77.46,1333,27.53%,38.25,71.38,3129,25.44%,38.05,72.69
800-849,178,30.34%,40.17,76.14,1534,21.58%,37.57,72.38,29,24.14%,39.03,73.40,1357,25.50%,38.30,71.11,3098,23.82%,38.06,72.05
850-900,183,21.86%,38.81,76.41,1647,22.34%,37.77,73.89,15,53.33%,36.20,73.32,1376,28.13%,37.80,72.26,3221,24.93%,37.83,73.34
Grand Total,1437,27.14%,39.30,75.68,12586,22.24%,37.66,73.32,205,33.17%,38.63,74.58,10771,26.40%,38.23,71.73,24999,24.40%,38.01,72.78
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Debt-to-Income Ratio (dtir1),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Grouped dtir1,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
0 - 9,355,23.66%,,,,,,,,,,,,,,,,,,
10 - 19,648,27.31%,,,,,,,,,,,,,,,,,,
20 - 29,2925,12.96%,,,,,,,,,,,,,,,,,,
30 - 39,10901,31.82%,,,,,,,,,,,,,,,,,,
40 - 49,8625,15.30%,,,,,,,,,,,,,,,,,,
50 - 59,1277,44.01%,,,,,,,,,,,,,,,,,,
60 - 69,268,41.04%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Loan to Value Ratio (ltv),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Grouped ltv,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
< 60.00,5524,14.10%,,,,,,,,,,,,,,,,,,
60.00 - 80.00,10826,32.49%,,,,,,,,,,,,,,,,,,
80.00 - 100.00,8323,19.10%,,,,,,,,,,,,,,,,,,
100.00 - 120.00,293,62.12%,,,,,,,,,,,,,,,,,,
> 120.00,33,100.00%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Loan Risk Structures (neg_ammortization + interest_only),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AVERAGE of defaulted,interest_only,,,,,,,,,,,,,,,,,,,
neg_ammortization,INT_ONLY,NOT_INT,,,,,,,,,,,,,,,,,,
NEG_AMM,27.34%,24.43%,,,,,,,,,,,,,,,,,,
NOT_NEG,27.43%,24.23%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Income,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Grouped income,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
< 2000,1183,43.79%,,,,,,,,,,,,,,,,,,
2000 - 3999,5321,29.90%,,,,,,,,,,,,,,,,,,
4000 - 5999,8532,22.97%,,,,,,,,,,,,,,,,,,
6000 - 7999,4455,21.93%,,,,,,,,,,,,,,,,,,
8000 - 9999,2741,20.39%,,,,,,,,,,,,,,,,,,
10000 - 11999,1437,17.75%,,,,,,,,,,,,,,,,,,
12000 - 13999,887,18.60%,,,,,,,,,,,,,,,,,,
14000 - 15000,317,17.03%,,,,,,,,,,,,,,,,,,
> 15000,126,17.46%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Age,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
age,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
<25,234,29.06%,,,,,,,,,,,,,,,,,,
>74,1232,29.22%,,,,,,,,,,,,,,,,,,
25-34,3192,22.37%,,,,,,,,,,,,,,,,,,
35-44,5631,21.47%,,,,,,,,,,,,,,,,,,
45-54,5882,24.31%,,,,,,,,,,,,,,,,,,
55-64,5363,26.25%,,,,,,,,,,,,,,,,,,
65-74,3465,26.32%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Region,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
CENTRAL,1437,27.14%,,,,,,,,,,,,,,,,,,
NORTH,12586,22.24%,,,,,,,,,,,,,,,,,,
NORTH-EAST,205,33.17%,,,,,,,,,,,,,,,,,,
SOUTH,10771,26.40%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
KPIs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,,
Total Loans,24999,,,,,,,,,,,,,,,,,,,
Overall Default Rate,24.40%,,,,,,,,,,,,,,,,,,,
Highest Risk Region,NORTH-EAST,,,,,,,,,,,,,,,,,,,
Highest Risk LTV,> 120.00,,,,,,,,,,,,,,,,,,,
Highest Risk Income,< 2000,,,,,,,,,,,,,,,,,,,
Highest Risk DTI,50 - 59,,,,,,,,,,,,,,,,,,,